Gene	Category	DAN-G-311Cas9 Rep A p6	DAN-G-311Cas9 Rep B p6	DAN-G-311Cas9 Rep C p6	DAN-G-311Cas9 Rep D p6
ADAM33	Other	-0.0333601523411998	-0.1595252945968	-0.224753015305866	-0.00528197689787671
ADAM7	Other	0.164978405957574	0.0771767641478289	0.00106430066168001	-0.0313023090772425
ADAM8	Other	0.318875078569514	0.332657950793793	0.136908162972674	0.279809225309969
ADAM9	Other	0.203664857245746	0.20150827911115	0.0944305365786265	0.164385276666382
ADAMDEC1	Other	0.025078932355519	0.372484547499574	0.175010725333549	0.332895237821349
ADAMTS1	Other	0.0933917963934325	-0.0787511223535342	0.0870202204728995	-0.0503305336068128
ADAMTS10	Other	-0.0238093619127113	-0.234770963143506	-0.129049659583904	-0.000424105343746733
ADAMTS12	Other	0.201832611094392	0.0648130932671146	0.382441412094619	0.148806890717428
ADAMTS13	Other	0.0365325642287347	0.150144918593877	0.124345161954739	0.104759717573471
ADAMTS14	Other	0.0891616527264823	0.115173487460137	0.096648744056813	0.262766343284311
ADAMTS15	Other	0.163130300045691	0.175282437940901	0.0207622209519555	0.238286401349166
ADAMTS16	Other	0.0766437404000737	0.0472268873173217	0.171495084933886	0.0547518819509459
ADAMTS17	Other	0.246795844561701	0.256086774597468	0.186060103483621	0.165924860005674
ADAMTS18	Other	0.268502518258009	0.269467659180642	0.297448395088693	0.412720678974217
ADAMTS19	Other	0.292603756248073	0.192910184643518	0.252849521443722	0.224136354475039
ADAMTS2	Other	0.0668872504161336	0.0865951744369728	-0.107894424788038	0.0332819293208958
ADAMTS20	Other	0.243067029252767	0.0658806530994501	0.152712207145337	0.15244600492712
ADAMTS3	Other	-0.0160383010635229	-0.0195705881620533	0.0174150660464847	0.0359816606771353
ADAMTS4	Other	0.271145218675594	0.129030850930005	0.337087557131129	0.274713682716405
ADAMTS5	Other	0.126221927826736	0.106389262835655	0.268181369290119	0.294227708206441
ADAMTS6	Other	0.184414626168194	0.264865153625217	0.103258014094886	0.139963124136527
ADAMTS7	Other	-0.34410506899524	-0.299069430298092	-0.227150729443711	-0.18020729475107
