Gene	Category	CCK	pDNA
AHR	Other	0.0778239988963203	-0.06824866034904
AHRR	Other	-0.390606817967767	-0.374205326711541
AHSA1	Other	0.828594076434106	0.964261569078216
AHSA2	Other	0.656429146896027	0.65594615046503
AHSG	Other	-0.246010210271613	-0.216385247859875
AHSP	Other	0.0572008570237219	-0.00819325118666093
AICDA	Nonessential	0.136688068030212	0.0476205506646259
AIDA	Other	0.470575185352452	0.448351057455515
AIF1	Other	0.839052806678102	0.888860985540037
AIF1L	Other	-0.316975473693767	-0.192756374787923
AIFM1	Other	1.2636479883041	1.20390202146471
AIFM2	Other	0.100579123126221	0.0620705529485662
AIFM3	Other	-0.125821967874142	0.000102354558060441
AIG1	Other	-0.344105057314793	-0.47060752778663
AIM1	Other	-0.150006224488117	-0.267811778310185
AIM2	Other	0.40160004625522	0.217269977300535
AIMP1	Other	-0.598223093294859	-0.529626151019066
AIMP2	Other	0.438187928121604	0.54771105864446
AIP	Other	0.816883053470406	0.922080184729559
AIPL1	Nonessential	1.37031122556057	1.24244713877538
AIRE	Other	0.102479238574251	0.0640791770946742
AJAP1	Other	-0.0910367427461123	-0.0766659120104538
AJUBA	Other	0.247237715889966	0.343534514277774
AK1	Other	0.740411949287366	0.648853558897148
AK2	Other	-0.729544871068383	-0.794049286279553
AK3	Other	0.200506722776546	0.339642060822017
AK4	Other	-0.0255812523923885	0.101444952051346
AK5	Other	-0.448023413731138	-0.520258785690816
AK7	Other	0.623006503117865	0.696941406827845
AK8	Other	1.09916165806108	1.27327237769538
AK9	Other	0.300323128430082	0.290139198658242
AKAP1	Other	-0.113813739115186	-0.0871936077324177
AKAP10	Other	-0.420141504888246	-0.366180698589953
AKAP11	Other	0.134869029208964	0.116553927684527
AKAP12	Other	0.0501561727760494	0.00870557808831474
AKAP13	Other	0.0958046285764437	0.102674569005461
AKAP14	Other	0.668281977262494	0.68952809631536
AKAP17A	Other	-0.472478928262043	-0.268652365226376
AKAP2	Other	0.406898836266319	0.380542765397205
AKAP3	Other	0.643194666209068	0.525645439796023
AKAP4	Other	0.318233909387491	0.273838312887675
AKAP5	Other	0.0654573261168376	0.0129921015524844
AKAP6	Other	0.133087364709662	0.0103195571746707
AKAP7	Other	-0.366827228968096	-0.330221837124655
AKAP8	Other	0.756338460959043	0.726623766958319
AKAP8L	Other	0.089955644290634	0.108007173077891
AKAP9	Other	0.354874623366885	0.358788178853158
AKIP1	Other	0.389597013963508	0.438516852497828
AKIRIN1	Other	-0.595101064875811	-0.5141978278493
AKIRIN2	Other	-0.584683838697672	-0.1414287020714
AKNA	Other	-0.0219505994722546	0.00597325062280071
AKNAD1	Other	0.633011581066559	0.594519576001619
AKR1A1	Other	0.402898930838802	0.582224740186383
AKR1B1	Other	-0.404389678726922	-0.64149925462709
AKR1B10	Other	0.0279568943286624	0.0313233932322508
AKR1B15	Other	0.0085334959773982	-0.0260781066363688
AKR1C1	Other	1.34720126220114	1.2763408555325
AKR1C2	Other	0.470322007635908	0.341233586394345
AKR1C3	Other	1.43072003889557	1.33263933903574
AKR1C4	Other	0.0396988141301559	-0.00566745092000845
AKR1D1	Other	0.204867805346215	0.252669405277509
AKR1E2	Other	0.431500827326723	0.337403373369426
AKR7A2	Other	-0.360085556450888	-0.341773136235967
AKR7A3	Other	0.0323067334514594	0.161149779682631
AKT1	Other	-0.246109750604294	-0.22330504767155
AKT1S1	Other	-0.00834525605110837	-0.191556644481576
AKT2	Other	-1.03531457816863	-1.02128594333027
AKT3	Other	-0.173540067414178	-0.265692769653835
AKTIP	Other	-0.513977257444813	-0.389471543523695
ALAD	Other	0.0867390883706999	0.0144272937559316
ALAS1	Other	0.049562599439334	0.000138095259547052
ALAS2	Other	-0.143140556125773	-0.252616862185129
ALB	Other	0.927584723781668	0.821068299963799
ALCAM	Other	0.983350237986648	0.87196578019253
ALDH16A1	Other	-0.155727373485204	-0.336165943024417
ALDH18A1	Other	-0.183135336140377	0.175126418181459
ALDH1A1	Other	0.882694225977331	0.976186376047756
ALDH1A2	Other	0.405562271805143	0.367213875641872
ALDH1A3	Other	-0.0387014925965775	-0.146561047951819
ALDH1B1	Other	-0.0676367289156479	-0.0385083017005367
ALDH1L1	Other	-0.208707592177066	-0.011668258188944
ALDH1L2	Other	1.04905871619377	1.00433456440074
ALDH2	Other	-0.0404804075399312	0.0308629081870706
ALDH3A1	Other	1.02763576558382	1.03392413931613
ALDH3A2	Other	0.218693548153779	0.205184869231617
ALDH3B2	Other	-0.122023877196575	-0.133343172742278
ALDH4A1	Other	0.0973502589661668	-0.0457989292548964
ALDH5A1	Other	0.0719965329981947	-0.035077772153203
ALDH6A1	Other	0.601946727465332	0.46014543954472
ALDH7A1	Other	0.127794789564784	0.128640977694145
ALDH8A1	Other	0.0434163239759219	0.13284895301233
ALDH9A1	Other	-0.302271586601079	-0.526001816233834
ALDOA	Other	0.137820680706318	0.273957451784102
ALDOB	Other	0.172278961927632	0.0663434702284427
ALDOC	Other	0.447590079088866	0.456664964689782
ALG1	Other	-0.0275911982416315	-0.0470492701315141
ALG10	Other	0.708525678458005	0.577298547456466
ALG10B	Other	-0.318438747827427	-0.490302741224904
ALG11	Other	0.374604093144107	0.379016115012053
ALG12	Other	-0.448200885141118	-0.418189240873408
ALG13	Other	0.0485531242376014	0.0983617955022979
ALG14	Other	-0.0383037606581288	0.309359804535055
ALG1L	Other	0.191600862781177	0.491421174408129
ALG2	Other	-0.218626042531733	-0.10268578710088
ALG3	Other	0.236097385411049	0.272773004306552
ALG5	Other	0.0910830536416783	0.19719440404524
ALG6	Other	0.168127911028913	0.20730501812493
