sgRNA,Gene,Category
SLC25A6-3,SLC25A6,Other
SLC25A6-4,SLC25A6,Other
ANXA1-1,ANXA1,Other
ANXA1-2,ANXA1,Other
ANXA1-3,ANXA1,Other
ANXA1-4,ANXA1,Other
ANXA2-1,ANXA2,Other
ANXA2-2,ANXA2,Other
ANXA2-3,ANXA2,Other
ANXA2-4,ANXA2,Other
ANXA3-1,ANXA3,Other
ANXA3-2,ANXA3,Other
ANXA3-3,ANXA3,Other
ANXA3-4,ANXA3,Other
ANXA4-1,ANXA4,Other
ANXA4-2,ANXA4,Other
ANXA4-3,ANXA4,Other
ANXA4-4,ANXA4,Other
ANXA5-1,ANXA5,Other
ANXA5-2,ANXA5,Other
ANXA5-3,ANXA5,Other
ANXA5-4,ANXA5,Other
ANXA6-1,ANXA6,Other
ANXA6-2,ANXA6,Other
ANXA6-3,ANXA6,Other
ANXA6-4,ANXA6,Other
ANXA7-1,ANXA7,Other
ANXA7-2,ANXA7,Other
ANXA7-3,ANXA7,Other
ANXA7-4,ANXA7,Other
ANXA11-1,ANXA11,Other
